,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29
1741,,,,,,,,,,,,,,,Coogan's Bluff,,,,,,,,,,,,,,,
1742,,,,,,,,,Lili,,,,,,,,,,,,,,,,,,,,,
1743,,,,,,,,,,,,,,,Romancing the Stone,,,,,,,,,,,,,,,
1744,,,,,,,,,,,,,,World's Greatest Dad,,,,,,,,,,,,,,,,
1745,,,,,,,,,,,,,,,,,,,,,,,,Reservation Road,,,,,,
1746,,,,,,,,,,,,,,,,,,,,,,,,Law Abiding Citizen,,,,,,
1747,,,,,,,,,,,,,,,,,,,,,,,Phantasm,,,,,,,
1748,,,,,,,,,,,,,,,,,,,,,,,,Serial Mom,,,,,,
1749,,,,,,,,,Lars and the Real Girl,,,,,,,,,,,,,,,,,,,,,
1750,,,,,,,,,,,,,,,Rosencrantz & Guildenstern Are Dead,,,,,,,,,,,,,,,
1751,,,,,,,,,,,,,,Trojan War,,,,,,,,,,,,,,,,
1752,,,,,,,,,,,,,,,Femme Fatale,,,,,,,,,,,,,,,
1753,,,,,Play the Game,,,,,,,,,,,,,,,,,,,,,,,,,
1754,,,,,,,,,What's Your Number?,,,,,,,,,,,,,,,,,,,,,
1755,,,,,,Days of Glory,,,,,,,,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,,,,,,,,,,The Distinguished Gentleman,,,
1757,,,,Pranchiyettan and The Saint,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,,,,,,,,,,,,,,,We're No Angels,,,,,,,,,,,,,,,
1759,,,,,,,,,,,,,,,The Third Man,,,,,,,,,,,,,,,
1760,,,,,,,,,The Love of Siam,,,,,,,,,,,,,,,,,,,,,
1761,,,,Evita,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,,,,,Trailer Park Boys: The Movie,,,,,,,,,,,,,,,,,,,,,,,,,
1763,,,House of 1000 Corpses,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,,,,,,,,,Campus,,,,,,,,,,,,,,,,,,,,,
1765,,,,,,,,,Six Days Seven Nights,,,,,,,,,,,,,,,,,,,,,
1766,,,,,,,,,,,,,,,,,,,Kabluey,,,,,,,,,,,
1767,,,,,Meet Wally Sparks,,,,,,,,,,,,,,,,,,,,,,,,,
1768,,,,,,,,,,,,,,,Mortal Kombat,,,,,,,,,,,,,,,
1769,,,,,,,,Black Dog,,,,,,,,,,,,,,,,,,,,,,
1770,,,,,,,,,,,,,,,,,,,,,,,,Public Enemy,,,,,,
1771,,,,,,,,,,,,,,,,,,,,,,,,Murder by Numbers,,,,,,
1772,,,,8½ Women,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,,,,,,,,,,,,,,Fame,,,,,,,,,,,,,,,,
1774,,,,The Notorious Bettie Page,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,,,,,,,,,,,,,,,Made,,,,,,,,,,,,,,,
1776,,,,,,,,,,,,,,Evil,,,,,,,,,,,,,,,,
1777,,,,,,,,,,Sicko,,,,,,,,,,,,,,,,,,,,
1778,,,,,,Black Hawk Down,,,,,,,,,,,,,,,,,,,,,,,,
1779,,,,,,,,,Alone with Her,,,,,,,,,,,,,,,,,,,,,
1780,,,,,,,11-11-11,,,,,,,,,,,,,,,,,,,,,,,
1781,,,,,,,,,,,,,,,,,,,,,,,The Killing Time,,,,,,,
1782,,,,,,,,,,,,,Gone Baby Gone,,,,,,,,,,,,,,,,,
1783,,,,,,,,,,,,,,,Spy Kids 4: All the Time in the World,,,,,,,,,,,,,,,
1784,,,,,,,,,,,,,,,,,,,,,,,,A Low Down Dirty Shame,,,,,,
1785,,,,,,,,,Hollywood Shuffle,,,,,,,,,,,,,,,,,,,,,
1786,,,,,,,,,,,,,,,Breath,,,,,,,,,,,,,,,
1787,,,,,,,,,,,,,,Storytelling,,,,,,,,,,,,,,,,
1788,,,,,,,,,,,,,,,Prey,,,,,,,,,,,,,,,
1789,,,,,,,,,,,,,,,,,,,,,,,,Whisper,,,,,,
1790,,,,,,,,,,,,,,,James and the Giant Peach,,,,,,,,,,,,,,,
1791,,,,,,,,,,,,,,Struck by Lightning,,,,,,,,,,,,,,,,
1792,,,,,,,,,,,,,,,Rare Exports: A Christmas Tale,,,,,,,,,,,,,,,
1793,,,,,,,,,,,,,,,,,,,,,,,,,,,Shoot to Kill,,,
1794,,,,,,,,,,,,,,,,,,,Problem Child,,,,,,,,,,,
1795,,,,,,,,,,,,,,,Cobb,,,,,,,,,,,,,,,
1796,,,,,Sleuth,,,,,,,,,,,,,,,,,,,,,,,,,
1797,,,,,,,,,Dear Frankie,,,,,,,,,,,,,,,,,,,,,
1798,,,,,,,,,,,,Species II,,,,,,,,,,,,,,,,,,
1799,,,,The Big Picture,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,To Live and Die in L.A.,,,
1801,,,,,,,,,,,,,,,,,,,Let Me In,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,Feast of Love,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bat*21,
1804,,,,,,,,,,,,,,,,,,,,Julien Donkey-Boy,,,,,,,,,,
1805,,,,,,,,,"Kiss Me, Kate",,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,,Violent Saturday,,,,,,,,,,,,,,,,,,,,,,
1807,Once Upon a Time in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,,,,A Mighty Wind,,,,,,,,,,,,,,,,,,,,,
1809,,,,Chasing Mavericks,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Colors,,,
1811,,,,,,,,,,,,Superman/Batman: Public Enemies,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,Meatballs,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Guardian,,
1814,,,,,,,,,,,,,,,Untold Scandal,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,Larry the Cable Guy: Health Inspector,,,
1816,,,,,,,,,,,,,Halloween 6,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body of Lies,
1818,,,,Chicken with Plums,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day of the Dead
1820,,,,,,,,Intermission,,,,,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,,,Meet the Parents,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,Mr. Baseball,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,,The Girl on the Train,,,,,,,,,,,
1824,,,,,,,,,,,,,,,The Adventures of Elmo in Grouchland,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,,,,,,,,,,,Enron: The Smartest Guys in the Room,,,
1826,,,,,Big Fan,,,,,,,,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,A Cinderella Story,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,Bent,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,,,,,,,,,,Kangaroo Jack,,,
1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,She's Having a Baby,,
1831,,,,,,The Dirty Dozen,,,,,,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,Scorched,,,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,,,,,,,The Funhouse,,,,,,
1834,,,,,,,,,,,,,Forever Young,,,,,,,,,,,,,,,,,
1835,,,,,Sylvia Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,A Very Long Engagement,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,The Robber,,,,,,
1838,,,,,Ben X,,,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,Metropolis,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,,Nancy Drew,,,,,,,,,,,
1841,,,,,,,,,,,,,,,The Big Hit,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,,,,,,,The Private Eyes,,,,,,
1843,,,,The Hollywood Knights,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,Love & Basketball,,,,,,,,,,,,,,,,,,,,,,,,,
1845,,,,,,,Mother of Tears,,,,,,,,,,,,,,,,,,,,,,,
1846,,,,Breakin',,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,Cool World,,,,,,,,,,,,,,,
1848,,,,,,,,,Here on Earth,,,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,,,,,,Ricochet,,,,,,
1850,,,,"Ima, Ai ni Yukimasu",,,,,,,,,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,Arthur,,,,,,,,,,,,,
1852,,,,,,Rambo: First Blood Part II,,,,,,,,,,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,The Big Blue,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,The Graduate,,,,,,,,,,,,,
1855,,,,Masked and Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,,,,FC Venus,,,,,,,,,
1857,,,,,,,,,,,,,,,Black Knight,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,,House Arrest,,,,,,,,,,,
1859,,,,,,,,,,,,The Adventures of Sharkboy and Lavagirl,,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,Dangerous Liaisons,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,X-Men Origins: Wolverine,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,Syriana,,,
1863,,,,,,,,,,,,,,,,,,,,,She's the Man,,,,,,,,,
1864,,,,,,,,,,,,,,,Mothra,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,RoboCop 3,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,Imagine Me & You,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,Phat Beach,,,,,,,,,,,,,,,,
1868,,,,,,Inglourious Basterds,,,,,,,,,,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,Company Man,,,
1870,,,,,,,,,,,,,,,,,,,,,,,,Sibling Rivalry,,,,,,
1871,,,,,,,,,,,,,,,,,,,,,Best of the Best 2,,,,,,,,,
1872,,,,,,,,,,,,,,,,,Monsoon Wedding,,,,,,,,,,,,,
1873,,,,,,,,,Zack and Miri Make a Porno,,,,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,Bridge to Terabithia,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Show,,,
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dark Knight Rises,
1877,,,,The French Lieutenant's Woman,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Christmas,,,
1879,,,,Le Notti di Cabiria,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,,,,,,,,,,,The Monster Squad,,,,,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,The Changeling,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,Mr. Magorium's Wonder Emporium,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,Skyline,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,Eternal Summer,,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,Idle Hands,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,,,,,,,,,Abbott and Costello Meet the Invisible Man,,,,,,
1887,,,,,,,,,,,,,,,,,,,,,,,,Pride and Glory,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,Another Day in Paradise,,,,
1889,,,,,,,,,,,,,,,The Amazing Panda Adventure,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,The Squid and the Whale,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,Tyler Perry's Madea's Family Reunion,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,Rush Hour 2,,,,,,
1893,,,,,,,,,,,,,,,The Devil's Double,,,,,,,,,,,,,,,
1894,,,,,,,,,101 Reykjavík,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,The Blind Side,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,,,,,,A Passage to India,,,,,,,
1897,,,,Breaking and Entering,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,Superman: Doomsday,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhinestone,,
1900,,,,,,,,,,,,,,,,,,,The Straight Story,,,,,,,,,,,
1901,,,,,,,,,,,,,,,Viva Zapata!,,,,,,,,,,,,,,,
1902,,,,A Season of Good Rain,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,A Touch of Class,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I Spy,
1905,,,,,,,,,,,,Screamers,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,The Bourne Ultimatum,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,Crazy in Alabama,,,,,,,
1908,,,,,,,,,Lost in Translation,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,A Scanner Darkly,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,,,,Room for One More,,,,,,,,,,
1911,,,,,,,,,,,,,,,Biker Boyz,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,Cyrano de Bergerac,,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,,,,,,,,,,,Twisted,,,,,,
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dark Knight,,,
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunderheart,,,
1916,,,,,,,,,,,,,,,This Must Be the Place,,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,The Solid Gold Cadillac,,,
1918,,,,,,,,,,,,,,,,,,,,,,,,,Scary Movie,,,,,
1919,,,,,,,,,White Christmas,,,,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,,Diary of June,,,,,,
1921,,,,,,,,,,,,,,Romy and Michele's High School Reunion,,,,,,,,,,,,,,,,
1922,,,,Antique,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,The Edge,,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Smith Goes to Washington,,,
1925,,,,,,Flags of Our Fathers,,,,,,,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,,The Way of the Gun,,,,,,,,,,,,,,,
1927,,,,The Bad and the Beautiful,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,The Kids Are All Right,,,,,,,,,,,,,,,,,,,,,
1929,,,,,,,,The Pirates of Penzance,,,,,,,,,,,,,,,,,,,,,,
1930,,,,,,,The Astronaut's Wife,,,,,,,,,,,,,,,,,,,,,,,
1931,,,,,,,,,Taking Woodstock,,,,,,,,,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,,,,,,,,,,,,,Clockers,,,,
1933,,,,,,,,,,,,,Adam's Rib,,,,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,Saw II,,,,,,,,,,,,,,,,,
1935,,,,,,,,,,,,,,,,,,,,,,,,,,,Married to the Mob,,,
1936,,,,Sweet Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,,Faithful,,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,,Edward II,,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,Down in the Valley,,,,,,,,,,,,,,,
1940,,,,,,,,,Hello Again,,,,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Ambushers,
1942,,,,Paris 36,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,The Other Man,,,,,,,,,,,,,,,,,,,,,
1944,The Mighty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,,,,,,,,,Pale Rider,,,,,,,
1946,,,,,,,,,,,,,,,Pokémon: The First Movie,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,Wagons East,,,,,,,,,,,,,,,
1948,,,,,,,,,The Last Days of Disco,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,Two Much,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,Kiss of Death,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,Black Dynamite,,,,
1952,,,,,,,,,,,,,REC 2,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,Drive Angry,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Sentinel,
1955,,,,,,,,,,,,,,,,,,,A Christmas Story,,,,,,,,,,,
1956,,,,,,,,,,,,,,,Spy Kids 2: Island of Lost Dreams,,,,,,,,,,,,,,,
1957,,,,,,,,Mad Money,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,Eight Men Out,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX: State of the Union / XXX: The Next Level,
1960,,,,,,,,,,,,,,,,,,,,,Take Me Out to the Ball Game,,,,,,,,,
1961,,,,Moonlight and Valentino,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,Live Flesh,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,Curious George,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,He Loves Me... He Loves Me Not,,,,,,,,,,,
1965,,,,,,,,,,,,John Carter,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,The Big Town,,,,,,,,,,,,,,,
1967,,,,,,,,,Breakfast at Tiffany's,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,Take Shelter,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,The Next Three Days,,,,,,
1970,,,,,,,,,,,,,,,,,Mr. Wrong,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,Coach Carter,,,,,,,,,
1972,For a Few Dollars More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,8 Mile,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,The Awakening,,,,,,,,,,,,,,,,
1975,,,,,,,,,The Story of Us,,,,,,,,,,,,,,,,,,,,,
1976,,,,Broken English,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,Deadtime Stories,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resident Evil: Damnation,
1979,,,,,,,,,,,,,,Peggy Sue Got Married,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,Dick,,,,,,,,,,,
1981,,,,,,U-571,,,,,,,,,,,,,,,,,,,,,,,,
1982,,The Addiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,Love Don't Cost a Thing,,,,,,,,,,,,,,,,
1984,,,,Les Témoins,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,Virginia City,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,Anima and Persona,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,The New World,,,
1988,,,,,,,,,,,,,,,Raise the Red Lantern,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,More Than a Game,,,,,,,,,
1990,,,,,Grandma's Boy,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,Everyone's Hero,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,She's Out Of My League,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,Gone in Sixty Seconds,,,
1994,,,,,,,,,,,,,,,,,Conversations with Other Women,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,The New Guy,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,I Know What You Did Last Summer,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,The Last Boy Scout,,,
1998,,,,,,,,,,,,,,,"Davy Crockett, King of the Wild Frontier",,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,Nell,,,,,,,,,,,,,,,,,
2000,Mi Vida Loca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,The Sand Pebbles,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Hindenburg,
2003,,,,,,,,,,,,,,Detachment,,,,,,,,,,,,,,,,
2004,,,,,,,,Pirates of the Caribbean: At World's End,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,The Cheat,,,
2006,,,,,,,,,,,,,,,The Soloist,,,,,,,,,,,,,,,
2007,,,,She Hate Me,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,The Mill and the Cross,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,Mammuth,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,How Green Was My Valley,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torn Curtain,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Collar,,,
2013,,,,,,,,,,,,,,,,,,,The House on Sorority Row,,,,,,,,,,,
2014,,,,,,,,,,,,,,,The Birdcage,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,Corky Romano,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,Burglar,,,,,,
2017,,,,,,,,,Tap,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,The Great Yokai War,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,One Magic Christmas,,,,,,,,,,,
2020,,,,,,,,,Look Who's Talking,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,Cat Ballou,,,,,,,
2022,,,,,,,,,,,,,,,Allan Quatermain and the Lost City of Gold,,,,,,,,,,,,,,,
2023,,,,,,,,,Some Like It Hot,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,Little Women,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,The Last Unicorn,,,,,,,,,,,,,,,
2026,,Vampires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,Psycho III,,,,,,,,,,,
2028,,,,,,,,,,,,,,,Turbo,,,,,,,,,,,,,,,
2029,,,,,,,,,Making Love,,,,,,,,,,,,,,,,,,,,,
2030,,,,Memories of Matsuko,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,,,,,The Frogmen,,,,,,,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,,,,,,,Cosmopolis,,,,,,
2033,,,,,,,,,,,,Invaders from Mars,,,,,,,,,,,,,,,,,,
2034,,,,In Country,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,Ghosts Can't Do It,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,The Legend of the Lone Ranger,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,Chicago,,,,,,,,,,,,,,,
2038,,,,Cairo Time,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,,,,,,,,,The Piano Teacher,,,,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,All I Desire,,,,,,,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,The Sword With No Name,,,,,,,,,,,,,,,
2042,,,,,,,,,,,,,,,,,,,,,,,,,,,Frantic,,,
2043,,,,,,,,,,,,,,,,,,,St. Elmo's Fire,,,,,,,,,,,
2044,,,,,,,,,,,,,,Terri,,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,Wrath of the Titans,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,,,,,,,,,In Too Deep,,,,
2047,,,,,,,,,,,,Wing Commander,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,Ninja Assassin,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,,,,Best of the Best,,,,,,,,,
2050,,,,,,,,,,,,,,,Not Without My Daughter,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,Strangeland,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Another Teen Movie,,
2053,,,,,,,,,,,,,,,Double Impact,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,,,,Don't Go Breaking My Heart,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,,,,,,,,Walk Hard: The Dewey Cox Story,,,,,
2056,,,,,,,,,,,,,The Cabin in the Woods,,,,,,,,,,,,,,,,,
2057,,,,,,,,,The First Wives Club,,,,,,,,,,,,,,,,,,,,,
2058,,,,Top Secret!,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,,,,,,,,,,,,,,,,,,,,,,,,Black Rain,,,,,,
2060,,,,,,,,,,,,,,,Mad Detective,,,,,,,,,,,,,,,
2061,,,,,,,,,,,,,,,Piglet's Big Movie,,,,,,,,,,,,,,,
2062,,,,,,,,,Jungle 2 Jungle,,,,,,,,,,,,,,,,,,,,,
2063,,,,,,,,,,,,,,,,,,,The Battle of Shaker Heights,,,,,,,,,,,
2064,,,,,,,,,,,,,,,,,,,,,,,The Sea of Grass,,,,,,,
2065,,,,,,,,,,,,Prometheus,,,,,,,,,,,,,,,,,,
2066,,,,,,,,,,,,,,,,,,,,,,,,,,,Pickup on South Street,,,
2067,,,,,,,,,,,,,,Jennifer's Body,,,,,,,,,,,,,,,,
2068,,,,,,,,,Head-On,,,,,,,,,,,,,,,,,,,,,
2069,,,,,,,,,Summertime,,,,,,,,,,,,,,,,,,,,,
2070,,,,,,,,,,,,,,,,,,,The Crow,,,,,,,,,,,
2071,,,,,,,,,,,,,,,,,,,,,,,,Five Corners,,,,,,
2072,,,,,,The Handmaid's Tale,,,,,,,,,,,,,,,,,,,,,,,,
2073,,,,,,,,,,,,,,,The Last Days of Pompeii,,,,,,,,,,,,,,,
2074,,,,Intruders,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,,,,,,,,,,,,,Hostel 2,,,,,,,,,,,,,,,,,
2076,,,,,,,,,,,,,,,True Grit,,,,,,,,,,,,,,,
2077,,,,,,,,,,,,,,,Hard Candy,,,,,,,,,,,,,,,
2078,,,,,,,,,,,,,,,,,,,,,Bad News Bears,,,,,,,,,
2079,,,,,,,,,,,,,,,Hood of Horror,,,,,,,,,,,,,,,
2080,,,,,,,,,,,,,,Zero Day,,,,,,,,,,,,,,,,
